RELATÓRIO DE ERROS DE IMPORTAÇÃO
Data/Hora: 04/06/2026 18:37:41
----------------------------------------

- Linha 4137: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4250: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4261: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4915: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4926: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4930: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4967: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4968: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4972: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4975: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4985: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 5011: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 5694: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 10483: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 10491: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 10804: Turma não encontrada na unidade (72.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10805: Turma não encontrada na unidade (72.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10806: Turma não encontrada na unidade (72.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10807: Turma não encontrada na unidade (72.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10808: Turma não encontrada na unidade (72.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10809: Turma não encontrada na unidade (72.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10810: Turma não encontrada na unidade (72.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10811: Turma não encontrada na unidade (72.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10812: Turma não encontrada na unidade (72.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10813: Turma não encontrada na unidade (72.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10814: Turma não encontrada na unidade (72.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10815: Turma não encontrada na unidade (72.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10816: Turma não encontrada na unidade (72.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10817: Turma não encontrada na unidade (72.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10818: Turma não encontrada na unidade (72.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10819: Turma não encontrada na unidade (72.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10820: Turma não encontrada na unidade (72.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10821: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10822: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10823: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10824: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10825: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10826: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10827: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10828: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10829: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10830: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10831: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10832: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10833: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10834: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10835: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10836: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10837: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10838: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10839: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10840: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10841: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10842: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10843: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10844: Turma não encontrada na unidade (72.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10845: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10846: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10847: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10848: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10849: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10850: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10851: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
